match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Expected goals,Final third entries,Fouled in final third,Free kicks,Goal kicks,Goalkeeper saves,Ground duels,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Yellow cards
231,12436899,man-utd,189,11/20 (55%),47%,,,,1,13,0,0/3 (0%),4,0/4 (0%),51%,0.07,20,1,4,7,0,11/23 (48%),0,4,12/27 (44%),2,221,21,,0,1,1,3,7,29%,,9,0,3,7,1
232,12436930,forest,103,8/11 (73%),34%,5,1,4,1,21,2,1/7 (14%),9,7/10 (70%),49%,2.42,14,2,6,4,3,21/48 (44%),0,5,11/26 (42%),0,138,30,,6,1,5,1,9,56%,0,8,3,7,9,0
232,12436930,brighton,215,3/11 (27%),66%,0,0,0,0,3,4,3/14 (21%),2,9/16 (56%),51%,0.23,29,2,6,0,1,27/48 (56%),0,2,6/21 (29%),0,260,29,,1,2,2,3,12,75%,0,5,1,4,12,1
233,12436911,bournemouth,135,4/9 (44%),51%,3,3,0,1,12,1,4/11 (36%),1,2/9 (22%),49%,1.41,32,0,7,4,0,21/42 (50%),1,5,11/23 (48%),1,174,27,,5,7,1,4,12,25%,1,5,0,9,12,2
233,12436911,liverpool,129,5/9 (56%),49%,1,1,0,4,18,2,1/6 (17%),7,3/8 (38%),51%,0.58,14,1,11,10,2,21/42 (50%),0,6,8/27 (30%),1,171,22,,4,3,1,4,8,38%,0,7,2,8,8,3
234,12436921,everton,157,7/11 (64%),47%,3,2,1,1,11,2,2/5 (40%),6,5/8 (63%),57%,1.02,27,1,10,2,1,21/38 (55%),0,2,13/26 (50%),0,205,29,,5,2,3,1,7,57%,1,12,1,6,7,
234,12436921,leicester,184,4/11 (36%),53%,0,0,0,5,10,4,2/10 (20%),5,3/5 (60%),43%,0.26,29,1,5,2,2,17/38 (45%),0,3,10/25 (40%),1,228,29,,3,1,1,4,9,67%,0,7,2,7,9,
235,12436924,ipswich,271,8/19 (42%),67%,0,0,0,1,6,0,1/7 (14%),9,9/16 (56%),46%,0.47,40,3,6,2,1,24/50 (48%),0,1,11/24 (46%),0,307,37,,3,3,2,3,9,33%,0,12,1,6,9,0
235,12436924,southampton,112,11/19 (58%),33%,1,0,1,2,15,2,2/5 (40%),4,3/8 (38%),54%,0.64,28,0,7,5,2,26/50 (52%),0,6,11/33 (33%),4,153,40,,4,1,2,1,16,75%,0,3,2,5,16,2
236,12436928,newcastle,168,5/11 (45%),55%,1,1,0,1,8,2,2/11 (18%),4,2/4 (50%),49%,0.22,31,1,9,4,2,13/26 (50%),1,0,10/29 (34%),2,210,20,,4,2,1,0,3,0%,0,13,2,4,3,2
