match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Expected goals,Final third entries,Fouled in final third,Free kicks,Goal kicks,Goalkeeper saves,Ground duels,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Yellow cards
57,12437002,wolves,166,4/8 (50%),45%,1,0,1,2,11,2,0/8 (0%),3,2/4 (50%),42%,0.51,20,1,4,5,2,12/30 (40%),0,4,11/24 (46%),1,202,28,,2,1,1,2,6,67%,,4,2,4,6,1
57,12437002,liverpool,224,4/8 (50%),55%,2,1,1,0,3,4,3/10 (30%),3,4/7 (57%),58%,1.47,22,1,9,3,0,18/30 (60%),0,4,10/25 (40%),2,261,27,,5,2,3,0,5,100%,,9,0,5,5,1
58,12436993,ipswich,218,4/7 (57%),51%,1,0,1,3,7,7,2/9 (22%),5,8/13 (62%),47%,0.68,34,0,5,3,1,16/36 (44%),0,4,13/25 (52%),2,247,27,,6,4,2,3,3,33%,0,4,1,9,3,2
58,12436993,aston-villa,211,3/7 (43%),49%,0,0,0,0,7,0,0/2 (0%),3,5/5 (100%),53%,0.15,38,1,5,6,1,20/36 (56%),0,3,5/16 (31%),1,241,21,,1,2,1,2,10,60%,0,4,1,3,10,1
59,12436995,man-utd,161,3/7 (43%),42%,0,0,0,4,3,5,5/18 (28%),1,1/5 (20%),61%,0.62,34,2,8,6,4,22/34 (65%),0,7,14/35 (40%),1,200,23,0,8,4,0,0,14,57%,0,4,4,8,14,2
59,12436995,tottenham,270,4/7 (57%),58%,6,4,2,3,11,1,2/5 (40%),6,2/10 (20%),39%,2.60,18,1,5,5,0,12/34 (35%),0,3,9/18 (50%),1,305,26,0,9,3,6,3,5,100%,1,5,0,12,5,2
60,12436982,bournemouth,141,4/14 (29%),33%,0,,0,4,15,4,0/12 (0%),3,0/1 (0%),41%,0.45,26,2,3,3,1,16/35 (46%),0,5,10/24 (42%),0,175,27,,5,2,2,3,13,31%,1,6,1,8,13,1
60,12436982,southampton,327,10/14 (71%),67%,1,,1,1,11,2,3/12 (25%),7,6/12 (50%),59%,0.39,33,3,9,3,2,19/35 (54%),0,4,10/15 (67%),0,365,24,,4,3,2,2,4,50%,0,12,2,6,4,4
61,12437015,crystal-palace,116,3/16 (19%),36%,2,2,0,0,6,1,1/6 (17%),2,1/4 (25%),26%,0.57,28,1,4,7,2,8/26 (31%),0,2,9/30 (30%),0,167,30,,2,4,4,6,3,67%,0,9,2,8,3,4
61,12437015,liverpool,257,13/16 (81%),64%,2,2,0,2,11,1,1/3 (33%),3,6/6 (100%),74%,0.76,33,2,7,4,4,18/26 (69%),0,7,15/34 (44%),0,302,29,,4,4,2,4,5,60%,0,10,4,8,5,0
62,12437004,arsenal,184,7/13 (54%),48%,3,1,2,3,7,5,4/12 (33%),8,6/8 (75%),51%,1.64,24,0,3,1,0,20/40 (50%),1,6,10/20 (50%),1,223,28,,10,7,5,5,11,73%,0,13,0,15,11,0
62,12437004,southampton,212,6/13 (46%),52%,2,2,0,4,10,1,1/5 (20%),7,5/9 (56%),49%,0.60,21,0,6,8,2,20/40 (50%),2,6,7/19 (37%),0,249,19,,4,1,1,2,10,60%,0,5,2,6,10,0
63,12437008,brentford,115,13/28 (46%),39%,3,2,1,1,26,5,3/12 (25%),5,3/5 (60%),50%,1.96,34,1,6,6,2,16/30 (53%),0,2,15/31 (48%),2,155,27,,5,3,6,5,7,43%,1,4,2,10,7,2
63,12437008,wolves,191,15/28 (54%),61%,1,1,0,2,12,3,1/14 (7%),1,1/7 (14%),50%,0.46,33,2,6,6,5,14/30 (47%),0,1,15/35 (43%),1,250,27,,5,4,3,4,7,86%,0,6,5,9,7,2
64,12437020,leicester,98,13/19 (68%),35%,0,0,0,1,23,0,0/1 (0%),5,4/11 (36%),49%,0.03,23,0,6,10,1,16/40 (40%),0,2,18/38 (47%),1,146,26,,0,0,0,1,6,83%,1,12,1,1,6,3
64,12437020,bournemouth,215,6/19 (32%),65%,4,4,0,3,7,5,4/13 (31%),5,6/7 (86%),51%,1.55,38,2,7,4,0,24/40 (60%),2,2,11/21 (52%),1,260,32,,8,8,1,4,12,83%,0,5,0,12,12,1
65,12437022,man-city,273,2/5 (40%),53%,0,0,0,1,9,0,2/4 (50%),3,3/12 (25%),44%,0.44,22,4,6,0,1,13/29 (45%),0,3,5/9 (56%),0,304,18,,1,1,3,4,4,50%,0,8,1,5,4,2
65,12437022,fulham,245,3/5 (60%),47%,2,1,1,2,5,1,1/7 (14%),1,3/6 (50%),56%,0.95,33,0,1,4,1,16/29 (55%),0,7,17/23 (74%),2,270,17,,3,0,2,1,12,33%,0,6,1,4,12,1
66,12437024,west-ham,190,3/8 (38%),44%,3,2,1,2,12,1,0/2 (0%),3,3/6 (50%),46%,2.06,18,1,2,4,2,18/38 (47%),0,6,15/25 (60%),2,215,26,,8,3,6,3,13,54%,1,7,2,11,13,0
66,12437024,ipswich,234,5/8 (63%),56%,1,1,0,1,3,3,1/10 (10%),9,9/13 (69%),54%,0.23,29,1,5,3,4,20/38 (53%),0,1,10/15 (67%),0,261,19,,2,2,1,2,6,100%,0,13,4,4,6,0
67,12437018,everton,125,4/12 (33%),35%,2,2,,0,10,0,2/6 (33%),9,9/16 (56%),49%,0.56,31,1,5,6,1,25/47 (53%),0,3,8/28 (29%),0,170,31,,2,5,1,4,11,55%,0,10,1,6,11,0
67,12437018,newcastle,275,8/12 (67%),65%,0,0,,3,2,4,3/11 (27%),5,4/10 (40%),51%,0.92,28,0,2,6,1,22/47 (47%),0,3,5/18 (28%),2,317,33,,7,5,0,1,16,50%,1,5,1,8,16,2
68,12437006,aston-villa,182,7/16 (44%),58%,,,,1,6,5,1/12 (8%),9,4/8 (50%),46%,0.35,26,4,5,3,2,15/32 (47%),0,4,5/16 (31%),0,217,21,,4,5,1,3,6,83%,0,8,2,7,6,1
68,12437006,man-utd,136,9/16 (56%),42%,,,,2,15,3,2/5 (40%),2,0/4 (0%),54%,0.38,17,1,5,9,1,17/32 (53%),2,4,10/24 (42%),0,165,17,,2,4,2,6,13,46%,0,3,1,8,13,2
69,12437013,chelsea,241,6/16 (38%),66%,2,2,0,2,11,10,3/19 (16%),4,6/7 (86%),45%,1.47,41,1,4,0,6,16/33 (48%),0,3,10/20 (50%),0,272,21,0,8,5,6,5,6,33%,0,8,6,13,6,5
69,12437013,forest,108,10/16 (63%),34%,3,2,1,3,22,2,1/6 (17%),3,6/9 (67%),55%,0.64,22,2,7,7,5,17/33 (52%),0,2,8/24 (33%),1,144,20,1,6,0,7,4,5,40%,0,5,5,10,5,3
70,12437011,brighton,135,7/12 (58%),39%,3,0,3,1,10,3,2/7 (29%),5,6/11 (55%),46%,1.14,16,2,5,5,1,16/38 (42%),0,7,11/27 (41%),0,169,30,,5,2,4,2,6,67%,0,3,1,7,6,1
70,12437011,tottenham,230,5/12 (42%),61%,0,0,0,1,4,5,1/12 (8%),3,6/9 (67%),54%,0.43,32,2,6,2,1,22/38 (58%),0,3,8/17 (47%),1,269,26,,5,5,1,2,10,40%,0,9,1,7,10,2
71,12437038,tottenham,188,3/6 (50%),53%,1,1,0,1,10,1,2/5 (40%),4,3/10 (30%),45%,0.77,20,1,11,4,1,22/50 (44%),1,2,13/21 (62%),1,221,27,0,8,4,5,2,8,75%,,8,1,10,8,1
71,12437038,west-ham,166,3/6 (50%),47%,1,1,0,3,7,3,1/7 (14%),3,11/16 (69%),55%,0.54,18,1,6,6,3,28/50 (56%),0,6,22/31 (71%),0,198,17,1,3,1,2,3,11,82%,,9,3,6,11,2
72,12437028,fulham,220,10/15 (67%),62%,1,1,,0,10,4,3/19 (16%),6,1/3 (33%),58%,0.26,28,4,7,3,3,19/35 (54%),0,4,11/23 (48%),1,247,20,1,3,2,2,1,11,82%,0,6,3,4,11,3
72,12437028,aston-villa,136,5/15 (33%),38%,0,0,,3,16,4,3/8 (38%),6,3/8 (38%),42%,0.67,15,2,5,2,2,16/35 (46%),0,9,4/11 (36%),1,158,22,1,6,3,3,3,8,50%,2,7,2,9,8,4
73,12437034,man-utd,192,9/14 (64%),47%,3,1,2,2,10,3,3/8 (38%),5,2/7 (29%),54%,1.04,36,0,3,3,0,18/36 (50%),0,5,17/35 (49%),1,232,29,,8,3,8,5,13,69%,1,8,0,13,13,1
73,12437034,brentford,222,5/14 (36%),53%,0,0,0,1,11,0,2/3 (67%),6,6/13 (46%),46%,0.16,32,1,2,3,6,18/36 (50%),0,6,3/18 (17%),3,264,31,,2,1,0,0,10,80%,0,9,6,2,10,2
74,12437035,newcastle,222,4/10 (40%),57%,2,2,0,5,4,5,2/13 (15%),11,6/8 (75%),55%,1.18,30,2,4,4,4,25/43 (58%),0,8,8/20 (40%),3,263,32,,10,4,4,3,15,73%,1,8,4,13,15,0
74,12437035,brighton,174,6/10 (60%),43%,3,3,0,1,19,3,2/5 (40%),7,3/11 (27%),45%,0.70,22,0,2,3,4,18/43 (42%),0,3,13/30 (43%),0,210,30,,5,2,4,2,13,46%,1,8,4,7,13,1
75,12437037,southampton,108,9/13 (69%),38%,0,0,0,2,19,8,4/14 (29%),10,2/8 (25%),51%,0.47,27,0,6,4,1,20/44 (45%),0,3,11/23 (48%),1,139,13,1,7,2,3,0,12,83%,0,9,1,7,12,1
75,12437037,leicester,196,4/13 (31%),62%,3,1,2,2,15,3,3/13 (23%),3,4/13 (31%),49%,2.41,32,1,4,3,4,24/44 (55%),1,3,11/18 (61%),1,233,21,0,8,5,4,3,16,63%,1,9,4,11,16,3
76,12437030,ipswich,217,6/10 (60%),55%,1,1,0,2,6,3,5/20 (25%),3,2/9 (22%),40%,0.66,29,1,2,2,3,11/33 (33%),0,5,12/18 (67%),1,244,34,,6,4,2,2,7,71%,0,10,3,8,7,1
76,12437030,everton,176,4/10 (40%),45%,1,1,0,0,22,1,1/3 (33%),3,5/9 (56%),60%,0.78,26,3,7,4,2,22/33 (67%),0,3,14/36 (39%),0,219,34,,4,2,3,1,10,80%,1,6,2,5,10,0
77,12437026,bournemouth,130,8/13 (62%),47%,2,1,1,1,9,2,3/11 (27%),1,10/15 (67%),59%,1.45,31,1,7,3,1,26/45 (58%),0,0,8/25 (32%),0,172,21,0,5,3,2,1,9,67%,0,7,1,6,9,1
77,12437026,arsenal,158,5/13 (38%),53%,2,2,0,0,9,3,3/11 (27%),3,5/11 (45%),41%,0.46,26,1,8,4,0,19/45 (42%),0,1,10/25 (40%),1,199,24,0,3,2,1,0,6,50%,0,6,0,3,6,1
78,12437039,wolves,74,9/17 (53%),23%,0,0,0,0,18,0,0/1 (0%),3,1/3 (33%),56%,0.04,15,0,1,4,3,15/26 (58%),0,3,13/39 (33%),0,110,22,,0,1,0,1,13,54%,0,7,3,1,13,2
78,12437039,man-city,315,8/17 (47%),77%,0,0,0,4,5,11,5/21 (24%),8,2/7 (29%),44%,0.99,31,2,4,3,0,11/26 (42%),0,1,7/11 (64%),1,346,19,,7,4,4,5,5,80%,0,12,0,12,5,0
79,12437032,liverpool,151,3/10 (30%),40%,1,0,1,0,6,0,1/3 (33%),2,1/4 (25%),50%,0.78,30,1,7,4,1,22/40 (55%),0,2,12/36 (33%),3,198,24,,3,2,2,1,14,64%,0,8,1,4,14,3
79,12437032,chelsea,258,7/10 (70%),60%,2,1,1,3,6,2,4/8 (50%),4,4/14 (29%),50%,0.73,30,2,9,3,1,18/40 (45%),0,4,12/24 (50%),0,290,22,,6,4,2,3,5,80%,1,6,1,9,5,1
80,12437036,forest,159,10/17 (59%),49%,0,0,,5,12,3,5/15 (33%),6,7/13 (54%),53%,0.48,28,1,4,5,4,16/32 (50%),0,6,14/28 (50%),0,198,20,,3,2,4,8,5,40%,0,15,4,11,5,2
80,12437036,crystal-palace,167,7/17 (41%),51%,0,0,,4,17,5,2/10 (20%),2,3/6 (50%),47%,0.49,30,0,1,4,3,16/32 (50%),1,4,11/23 (48%),2,209,25,,6,3,4,5,12,67%,0,4,3,11,12,1
81,12437048,leicester,239,11/18 (61%),68%,0,0,0,2,8,3,3/16 (19%),7,4/10 (40%),44%,0.11,46,1,5,6,0,17/46 (37%),0,3,12/18 (67%),0,277,24,,2,2,0,2,8,75%,0,12,0,4,8,4
81,12437048,forest,97,7/18 (39%),32%,3,2,1,1,18,2,1/7 (14%),5,6/9 (67%),56%,1.22,20,2,10,4,0,29/46 (63%),1,7,12/29 (41%),1,129,30,,8,8,2,3,13,46%,0,5,0,11,13,2
82,12437041,aston-villa,168,9/21 (43%),57%,2,1,1,3,9,6,3/13 (23%),9,4/7 (57%),43%,1.05,22,0,8,5,0,14/32 (44%),0,8,12/24 (50%),0,208,24,,6,3,4,4,3,33%,0,9,0,10,3,4
82,12437041,bournemouth,124,12/21 (57%),43%,0,0,0,2,14,3,2/12 (17%),2,0/1 (0%),57%,0.12,24,3,7,4,3,18/32 (56%),0,3,9/22 (41%),1,155,24,,2,1,1,2,12,58%,0,5,3,4,12,2
83,12437043,brentford,221,17/25 (68%),64%,5,4,1,3,12,2,7/15 (47%),3,2/9 (22%),50%,3.15,38,2,5,5,0,10/29 (34%),0,2,15/27 (56%),0,264,24,0,11,5,7,4,3,67%,0,12,0,15,3,0
83,12437043,ipswich,103,8/25 (32%),36%,1,0,1,0,20,1,3/7 (43%),1,3/5 (60%),50%,0.24,26,0,6,7,5,19/29 (66%),1,3,12/30 (40%),1,151,24,1,3,3,1,1,10,80%,1,3,5,4,10,2
84,12437044,brighton,141,4/15 (27%),41%,0,0,0,2,14,2,2/5 (40%),3,5/12 (42%),42%,0.26,19,1,3,5,4,20/42 (48%),0,2,17/30 (57%),2,179,28,,4,1,3,2,12,42%,0,10,4,6,12,3
84,12437044,wolves,213,11/15 (73%),59%,0,0,0,4,11,5,5/15 (33%),4,5/13 (38%),58%,1.06,26,2,7,5,2,22/42 (52%),0,3,12/29 (41%),1,251,27,,11,1,6,0,10,40%,0,9,2,11,10,1
85,12437049,man-city,318,3/7 (43%),62%,3,3,0,4,8,4,5/10 (50%),7,5/6 (83%),54%,2.09,25,2,6,2,2,19/34 (56%),0,4,3/10 (30%),0,337,16,,8,4,4,4,8,63%,1,3,2,12,8,1
85,12437049,southampton,191,4/7 (57%),38%,0,0,0,1,8,1,1/2 (50%),3,3/8 (38%),46%,0.11,12,0,4,4,3,15/34 (44%),0,2,10/15 (67%),2,211,19,,4,1,2,0,8,75%,0,5,3,4,8,2
86,12437047,everton,141,11/15 (73%),42%,1,0,1,1,11,1,3/8 (38%),3,4/6 (67%),61%,0.51,39,0,5,4,0,19/34 (56%),0,4,13/28 (46%),1,183,26,,5,2,3,1,10,90%,,11,0,6,10,1
86,12437047,fulham,217,4/15 (27%),58%,0,0,0,0,11,1,2/5 (40%),7,6/9 (67%),39%,0.27,35,0,4,2,2,15/34 (44%),0,4,13/26 (50%),2,262,34,,1,5,1,5,5,60%,,10,2,6,5,0
87,12437045,chelsea,171,6/14 (43%),42%,0,0,0,1,14,0,2/4 (50%),6,3/7 (43%),48%,0.68,31,0,9,6,0,22/44 (50%),1,11,11/28 (39%),0,201,25,,7,4,3,1,10,60%,1,4,0,8,10,5
87,12437045,newcastle,221,8/14 (57%),58%,2,2,0,0,1,2,1/4 (25%),6,4/8 (50%),52%,0.31,35,1,8,5,2,22/44 (50%),0,2,17/33 (52%),0,270,25,,2,2,1,1,10,60%,0,15,2,3,10,2
88,12437046,crystal-palace,85,9/18 (50%),34%,0,0,0,0,14,3,1/12 (8%),8,1/5 (20%),52%,0.35,35,2,8,5,2,24/45 (53%),0,3,15/39 (38%),3,126,35,,3,4,3,4,15,67%,,4,2,7,15,2
88,12437046,tottenham,205,9/18 (50%),66%,1,1,0,1,9,3,2/15 (13%),8,4/11 (36%),48%,0.15,33,0,5,7,3,21/45 (47%),0,3,16/27 (59%),1,250,29,,1,0,2,2,12,67%,,8,3,3,12,3
89,12437050,west-ham,140,10/18 (56%),42%,4,2,2,1,30,3,4/12 (33%),6,8/11 (73%),55%,2.97,17,2,3,3,2,16/29 (55%),0,8,12/22 (55%),2,177,27,,10,7,3,1,5,20%,0,6,2,11,5,3
89,12437050,man-utd,195,8/18 (44%),58%,1,0,1,4,15,4,4/20 (20%),2,3/6 (50%),45%,0.62,28,1,1,4,1,13/29 (45%),0,3,9/22 (41%),1,239,18,,4,3,3,6,9,67%,0,12,1,10,9,1
90,12437040,arsenal,111,9/13 (69%),37%,0,,0,1,15,1,0/5 (0%),5,4/9 (44%),47%,0.15,16,0,5,5,1,18/44 (41%),0,2,11/22 (50%),1,148,22,,1,1,1,2,9,44%,0,11,1,3,9,2
90,12437040,liverpool,215,4/13 (31%),63%,1,,1,2,14,2,0/17 (0%),8,8/9 (89%),53%,0.45,29,1,8,3,1,26/44 (59%),0,2,12/29 (41%),1,249,21,,3,2,2,3,10,60%,1,13,1,6,10,1
91,12437056,newcastle,88,9/14 (64%),31%,0,0,0,1,13,2,0/6 (0%),8,4/5 (80%),61%,0.17,22,1,11,3,0,25/42 (60%),0,5,5/31 (16%),,131,32,,4,1,3,1,11,55%,0,9,0,5,11,3
91,12437056,arsenal,257,5/14 (36%),69%,1,1,0,2,9,3,4/15 (27%),6,1/6 (17%),39%,0.43,32,1,7,1,3,17/42 (40%),0,1,12/22 (55%),,295,30,,3,2,0,1,9,67%,0,9,3,4,9,4
92,12437051,bournemouth,94,6/14 (43%),29%,3,2,1,1,24,2,2/5 (40%),5,6/9 (67%),52%,1.28,19,1,4,7,3,18/32 (56%),1,5,18/29 (62%),1,120,19,,5,3,3,2,8,75%,1,4,3,7,8,1
92,12437051,man-city,266,8/14 (57%),71%,2,2,0,2,5,6,4/17 (24%),5,1/4 (25%),48%,1.38,23,2,6,5,2,14/32 (44%),1,3,9/15 (60%),0,298,15,,9,8,4,5,7,43%,0,9,2,14,7,1
93,12437053,ipswich,91,10/21 (48%),37%,0,0,0,2,18,0,0/1 (0%),6,3/11 (27%),44%,0.17,30,2,8,7,2,20/47 (43%),0,5,5/20 (25%),,129,16,1,2,0,1,1,9,56%,0,14,2,3,9,5
93,12437053,leicester,166,11/21 (52%),63%,3,2,1,7,7,4,5/15 (33%),2,8/15 (53%),56%,1.21,31,1,5,1,0,27/47 (57%),0,2,15/29 (52%),,201,26,0,11,4,4,4,14,50%,1,9,0,15,14,1
94,12437054,liverpool,182,4/7 (57%),50%,3,3,,3,9,3,3/9 (33%),5,3/6 (50%),70%,0.94,33,0,11,0,1,31/43 (72%),0,8,8/26 (31%),0,225,33,,9,1,7,2,18,72%,0,7,1,11,18,0
94,12437054,brighton,192,3/7 (43%),50%,0,0,,3,15,4,3/10 (30%),7,2/13 (15%),30%,0.24,31,0,2,5,5,12/43 (28%),0,5,11/25 (44%),0,223,29,,3,2,1,3,8,63%,0,11,5,6,8,2
95,12437057,forest,237,8/15 (53%),65%,2,2,0,0,7,8,3/12 (25%),7,4/7 (57%),49%,0.74,27,1,5,1,1,16/34 (47%),0,3,11/24 (46%),1,282,27,0,4,5,4,5,8,75%,1,10,1,9,8,1
95,12437057,west-ham,112,7/15 (47%),35%,0,0,0,0,14,3,1/7 (14%),3,6/11 (55%),51%,0.07,20,0,2,6,2,18/34 (53%),0,9,9/28 (32%),0,149,21,0,1,2,1,2,10,90%,0,5,2,3,10,1
96,12437058,southampton,241,5/7 (71%),65%,1,1,,2,12,1,5/11 (45%),4,9/18 (50%),47%,0.56,28,1,6,6,3,23/52 (44%),0,3,10/17 (59%),1,261,27,,6,3,2,1,9,67%,0,6,3,7,9,4
96,12437058,everton,107,2/7 (29%),35%,3,3,,2,7,4,5/13 (38%),8,8/9 (89%),53%,1.37,24,1,8,4,1,29/52 (56%),2,5,5/23 (22%),1,135,26,,5,5,3,5,13,31%,0,6,1,10,13,1
97,12437060,wolves,193,10/16 (63%),63%,3,1,2,1,13,1,2/5 (40%),6,10/12 (83%),66%,1.40,24,0,6,5,2,30/45 (67%),0,8,14/32 (44%),1,244,24,,5,1,6,3,14,43%,,15,2,8,14,1
97,12437060,crystal-palace,86,6/16 (38%),37%,2,1,1,1,16,2,2/12 (17%),10,4/8 (50%),34%,1.54,32,1,4,2,4,15/45 (33%),0,5,10/27 (37%),1,133,26,,10,6,4,1,8,50%,,12,4,11,8,2
98,12437059,tottenham,155,6/9 (67%),48%,3,0,3,0,14,1,1/8 (13%),2,4/10 (40%),48%,2.23,23,1,7,4,0,15/35 (43%),0,4,8/15 (53%),,176,28,,5,2,6,3,5,60%,1,8,0,8,5,2
98,12437059,aston-villa,155,3/9 (33%),52%,1,1,0,1,5,2,1/8 (13%),3,6/8 (75%),52%,0.50,16,2,6,5,2,20/35 (57%),0,4,10/21 (48%),,186,25,,3,4,0,2,8,63%,1,8,2,5,8,0
99,12437055,man-utd,142,5/16 (31%),46%,2,1,1,2,12,3,1/7 (14%),5,3/7 (43%),44%,1.26,19,1,6,2,1,24/50 (48%),0,5,8/24 (33%),3,181,25,,5,2,3,2,16,56%,1,8,1,7,16,4
99,12437055,chelsea,181,11/16 (69%),54%,0,0,0,2,11,4,0/8 (0%),8,5/13 (38%),56%,0.29,23,0,12,2,2,26/50 (52%),0,3,10/24 (42%),0,219,22,,2,2,2,4,9,56%,0,9,2,6,9,1
100,12437052,fulham,291,10/24 (42%),70%,0,0,,7,4,8,7/29 (24%),2,6/9 (67%),53%,0.76,39,2,6,1,1,18/29 (62%),0,6,14/24 (58%),1,328,25,,10,2,8,7,6,50%,2,9,1,17,6,2
100,12437052,brentford,103,14/24 (58%),30%,1,1,,1,24,2,1/3 (33%),3,5/8 (63%),47%,0.48,23,0,1,6,6,11/29 (38%),0,4,8/31 (26%),0,148,25,,3,1,1,0,5,100%,0,1,6,3,5,1
101,12436876,brentford,127,23/30 (77%),52%,1,0,1,2,24,4,5/15 (33%),8,2/6 (33%),61%,1.14,27,2,11,4,0,21/42 (50%),0,3,8/27 (30%),0,174,26,,6,2,4,2,9,56%,1,10,0,8,9,2
101,12436876,bournemouth,116,7/30 (23%),48%,1,0,1,5,18,2,4/12 (33%),5,2/6 (33%),39%,0.71,31,1,7,4,2,21/42 (50%),1,2,7/30 (23%),0,161,27,,7,1,1,0,12,75%,1,10,2,7,12,3
102,12436483,crystal-palace,153,3/13 (23%),37%,1,1,0,0,13,0,1/7 (14%),5,3/8 (38%),41%,0.66,20,1,6,4,3,17/36 (47%),0,11,10/20 (50%),1,186,27,1,3,3,4,4,9,44%,1,9,3,7,9,1
102,12436483,fulham,283,10/13 (77%),63%,2,1,1,1,8,3,4/9 (44%),7,3/5 (60%),59%,1.24,36,1,6,3,4,19/36 (53%),0,4,14/25 (56%),2,324,32,0,6,3,4,2,10,50%,3,11,4,8,10,1
103,12436486,west-ham,151,13/23 (57%),49%,1,1,,2,13,4,1/7 (14%),5,6/12 (50%),49%,0.73,33,0,5,4,2,18/40 (45%),1,1,12/28 (43%),0,202,28,,4,1,4,3,7,57%,1,9,2,7,7,1
103,12436486,everton,152,10/23 (43%),51%,0,0,,4,10,5,6/14 (43%),2,5/10 (50%),51%,0.65,41,1,6,4,4,22/40 (55%),0,0,11/33 (33%),1,204,26,,5,4,2,5,11,55%,0,10,4,10,11,2
104,12436485,wolves,95,2/7 (29%),29%,0,0,0,1,14,0,1/2 (50%),6,5/7 (71%),41%,0.24,21,0,6,3,0,17/39 (44%),0,1,8/22 (36%),0,127,23,,2,1,3,3,6,83%,0,7,0,5,6,1
104,12436485,southampton,270,5/7 (71%),71%,0,0,0,1,3,4,1/13 (8%),3,6/9 (67%),59%,0.20,33,4,8,3,2,22/39 (56%),0,1,7/16 (44%),0,304,29,,3,2,0,0,8,63%,0,11,2,3,8,3
105,12436882,brighton,217,5/8 (63%),46%,6,4,2,1,14,0,4/6 (67%),6,2/3 (67%),48%,1.87,24,0,5,5,1,16/36 (44%),0,7,20/27 (74%),0,246,23,,6,2,4,1,9,33%,2,8,1,7,9,1
105,12436882,man-city,252,3/8 (38%),54%,1,1,0,1,6,1,2/6 (33%),7,7/9 (78%),52%,0.29,34,0,6,2,2,20/36 (56%),0,2,5/11 (45%),0,286,24,,4,4,1,2,7,43%,0,8,2,6,7,2
106,12436484,liverpool,294,4/7 (57%),65%,3,2,1,1,8,0,2/5 (40%),4,9/12 (75%),53%,1.21,23,3,8,2,0,22/42 (52%),0,3,13/27 (48%),1,325,22,,6,4,3,2,5,60%,0,7,0,8,5,0
106,12436484,aston-villa,139,3/7 (43%),35%,2,2,0,0,9,5,1/12 (8%),3,6/8 (75%),47%,0.41,11,2,7,3,2,20/42 (48%),0,3,5/12 (42%),1,168,22,,3,3,0,0,7,57%,0,7,2,3,7,1
107,12436494,man-utd,151,5/13 (38%),44%,0,0,,1,10,0,0/5 (0%),8,4/8 (50%),48%,0.10,22,0,4,1,1,23/45 (51%),0,5,9/26 (35%),0,188,31,,1,2,1,3,15,87%,0,7,1,4,15,0
107,12436494,leicester,197,8/13 (62%),56%,0,0,,0,6,4,0/11 (0%),9,7/13 (54%),52%,0.05,34,3,4,3,0,22/45 (49%),0,2,13/28 (46%),2,244,25,,1,0,1,0,12,67%,0,18,0,1,12,1
108,12436487,forest,154,8/21 (38%),48%,1,1,0,2,8,2,3/16 (19%),5,1/5 (20%),47%,0.29,32,1,2,5,1,17/32 (53%),0,5,13/27 (48%),2,196,25,,4,2,2,2,14,71%,,13,1,6,14,1
108,12436487,newcastle,181,13/21 (62%),52%,2,1,1,2,13,1,4/9 (44%),6,0/8 (0%),53%,1.25,38,2,6,1,2,15/32 (47%),0,4,10/23 (43%),0,221,34,,7,4,4,3,9,56%,,8,2,10,9,0
109,12436492,tottenham,183,11/21 (52%),66%,1,1,0,1,4,9,4/22 (18%),4,7/14 (50%),52%,0.74,25,1,10,1,0,22/43 (51%),0,5,9/18 (50%),,232,27,,6,7,3,5,5,40%,,13,0,11,5,1
109,12436492,ipswich,73,10/21 (48%),34%,0,0,0,1,24,0,1/1 (100%),3,4/6 (67%),48%,0.10,27,2,8,9,2,21/43 (49%),0,7,12/33 (36%),,128,23,,0,1,0,2,11,55%,,9,2,2,11,4
110,12436890,chelsea,193,1/6 (17%),51%,0,0,0,3,5,2,3/10 (30%),3,3/7 (43%),45%,0.58,27,0,6,4,1,19/38 (50%),0,5,11/27 (41%),1,224,19,,3,3,2,5,10,80%,0,5,1,8,10,1
110,12436890,arsenal,193,5/6 (83%),49%,3,2,1,3,10,2,1/8 (13%),8,7/9 (78%),55%,0.97,31,2,5,3,1,19/38 (50%),0,3,8/12 (67%),4,218,21,,5,3,2,3,7,43%,1,8,1,8,7,1
111,12436495,leicester,170,6/10 (60%),42%,1,0,1,1,5,1,1/3 (33%),4,3/12 (25%),46%,0.84,22,2,8,6,3,19/44 (43%),0,4,11/30 (37%),2,214,22,,2,0,1,0,8,25%,1,7,3,2,8,1
111,12436495,chelsea,248,4/10 (40%),58%,2,1,1,1,7,4,1/6 (17%),1,4/11 (36%),54%,1.86,30,1,8,1,0,25/44 (57%),0,3,8/18 (44%),0,293,23,,6,2,5,2,13,62%,0,12,0,8,13,2
112,12436489,arsenal,281,5/12 (42%),64%,0,0,,2,13,3,1/6 (17%),2,3/7 (43%),48%,0.31,22,0,4,4,0,15/30 (50%),0,3,7/15 (47%),0,309,23,,3,4,2,5,8,88%,,2,0,8,8,0
112,12436489,forest,146,7/12 (58%),36%,0,0,,2,6,1,4/13 (31%),3,3/8 (38%),52%,0.21,17,2,6,7,0,15/30 (50%),0,6,11/19 (58%),1,170,18,,3,3,0,2,6,17%,,8,0,5,6,1
