match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Big saves,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Errors lead to a goal,Errors lead to a shot,Expected goals,Final third entries,Final third phase,Fouled in final third,Fouls,Free kicks,Goal kicks,Goalkeeper saves,Goals prevented,Ground duels,High claims,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Penalty saves,Punches,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Touches in penalty area,Yellow cards
249,12436939,crystal-palace,401,22/54 (41%),58%,4,3,1,0,5,34,6,5/20 (25%),15,10/15 (67%),47%,2,1,1.72,71,106/167 (63%),2,9,12,6,4,-0.70,39/77 (51%),0,1,7,15/60 (25%),3,520,,,50,,9,6,6,8,17,65%,2,23,4,17,17,27,0
249,12436939,everton,264,32/54 (59%),42%,2,1,1,2,4,48,2,3/17 (18%),9,9/17 (53%),53%,0,1,0.96,64,63/114 (55%),2,12,9,8,5,0.78,38/77 (49%),2,0,11,31/67 (46%),1,368,,,52,,6,1,6,5,20,30%,0,19,5,11,20,18,1
250,12436945,liverpool,364,8/18 (44%),50%,2,0,2,,1,18,4,3/13 (23%),7,4/12 (33%),44%,,3,1.66,53,102/138 (74%),2,15,12,8,3,0.46,32/72 (44%),,0,15,22/46 (48%),5,443,,1,45,,8,6,3,2,16,63%,1,21,3,10,16,23,2
250,12436945,wolves,388,10/18 (56%),50%,1,1,0,,5,21,3,1/10 (10%),3,10/23 (43%),56%,,1,1.50,46,86/124 (69%),3,13,15,8,1,-0.58,40/72 (56%),,0,9,16/42 (38%),3,458,,0,48,,6,7,4,10,15,73%,2,15,1,16,15,22,2
251,12436952,tottenham,459,9/20 (45%),56%,1,0,1,1,9,26,10,11/31 (35%),14,13/31 (42%),44%,,,2.23,48,135/165 (82%),5,13,9,10,6,0.59,35/81 (43%),,0,5,9/22 (41%),0,521,,2,47,,19,6,7,3,13,46%,2,12,6,22,13,44,1
251,12436952,man-utd,344,11/20 (55%),44%,2,2,0,2,4,24,5,8/24 (33%),10,2/5 (40%),56%,,,1.52,45,101/125 (81%),1,9,13,6,6,0.51,46/81 (57%),,0,11,29/51 (57%),7,412,,0,54,,14,6,6,2,32,63%,1,13,6,16,32,32,2
252,12436623,leicester,314,10/32 (31%),48%,1,1,0,,2,32,5,3/27 (11%),5,5/10 (50%),40%,,,0.51,38,87/124 (70%),1,10,10,6,3,-1.57,24/52 (46%),0,0,13,11/38 (29%),1,382,,3,39,,5,3,3,3,11,45%,1,19,3,8,11,22,4
252,12436623,brentford,359,22/32 (69%),52%,3,1,2,,5,34,6,9/20 (45%),7,9/13 (69%),60%,,,1.52,61,99/141 (70%),4,10,10,8,3,0.35,28/52 (54%),1,1,9,34/52 (65%),1,425,,0,46,,12,3,6,2,10,90%,2,12,3,14,10,35,0
253,12436625,everton,231,20/40 (50%),38%,4,3,1,0,1,35,7,8/23 (35%),12,6/18 (33%),49%,,,1.91,56,63/109 (58%),0,12,9,5,1,-1.74,39/80 (49%),1,0,9,25/54 (46%),1,313,,,51,,8,0,8,1,24,75%,0,13,1,9,24,23,4
253,12436625,man-utd,456,20/40 (50%),62%,1,1,0,1,4,35,8,3/20 (15%),13,7/18 (39%),51%,,,0.41,55,101/142 (71%),6,9,12,4,6,-0.39,41/80 (51%),1,0,13,22/53 (42%),0,533,,,54,,4,2,3,5,24,63%,2,17,6,9,24,20,1
254,12436960,arsenal,574,17/37 (46%),68%,1,1,0,,10,6,2,7/30 (23%),8,7/11 (64%),49%,,0,1.22,71,223/265 (84%),4,16,15,6,1,0.02,33/66 (50%),2,0,8,12/25 (48%),2,642,,0,38,1,14,8,2,6,12,42%,,16,1,20,12,42,1
254,12436960,west-ham,241,20/37 (54%),32%,1,0,1,,0,44,0,3/8 (38%),7,6/11 (55%),51%,,2,1.07,42,44/70 (63%),1,15,16,10,2,0.14,33/66 (50%),0,0,14,21/61 (34%),2,309,,1,40,0,5,3,2,0,12,42%,,11,2,5,12,11,3
255,12436958,bournemouth,275,16/33 (48%),45%,1,1,0,2,3,26,6,4/27 (15%),14,11/27 (41%),40%,1,1,0.62,73,77/120 (64%),3,17,9,5,5,0.35,32/88 (36%),0,0,12,27/56 (48%),1,360,,1,59,1,6,2,3,2,13,38%,1,23,5,8,13,24,3
255,12436958,wolves,364,17/33 (52%),55%,3,2,1,1,3,39,7,2/16 (13%),10,9/12 (75%),60%,0,3,2.00,42,50/77 (65%),2,9,17,13,3,0.33,56/88 (64%),3,1,10,14/49 (29%),1,454,,0,56,0,8,5,5,5,30,50%,1,16,3,13,30,16,3
256,12436624,fulham,450,16/26 (62%),62%,0,0,,2,5,18,7,5/27 (19%),13,3/15 (20%),44%,,,0.20,74,100/147 (68%),3,10,7,6,4,-0.61,25/68 (37%),0,0,8,31/64 (48%),0,543,,1,54,,4,5,0,6,15,33%,0,17,4,10,15,22,1
256,12436624,crystal-palace,254,10/26 (38%),38%,2,2,,0,2,33,7,2/10 (20%),10,9/14 (64%),56%,,,1.29,51,49/95 (52%),2,7,10,10,0,0.00,43/68 (63%),1,0,10,21/52 (40%),3,334,,0,50,,7,3,5,3,25,44%,1,13,0,10,25,16,3
257,12436629,ipswich,292,4/11 (36%),41%,3,2,1,,7,11,4,6/19 (32%),8,5/14 (36%),51%,0,0,1.15,56,82/116 (71%),4,15,14,6,2,-1.33,42/79 (53%),0,1,10,20/44 (45%),2,355,,1,50,,10,5,5,7,23,52%,,12,2,17,23,26,2
257,12436629,tottenham,461,7/11 (64%),59%,1,0,1,,3,14,4,1/4 (25%),11,5/17 (29%),49%,1,1,1.71,41,66/95 (69%),1,14,15,5,4,-0.28,37/79 (47%),1,0,6,16/38 (42%),1,533,,0,52,,9,1,6,1,17,53%,,8,4,10,17,21,1
258,12436965,southampton,346,12/33 (36%),50%,0,0,0,2,3,23,5,1/11 (9%),6,7/18 (39%),43%,1,1,0.13,43,48/88 (55%),0,11,12,3,8,0.71,33/71 (46%),,0,13,18/59 (31%),2,431,,1,60,,2,2,1,4,13,54%,0,15,8,6,13,5,2
258,12436965,brighton,356,21/33 (64%),50%,10,7,3,0,3,22,6,5/15 (33%),9,10/15 (67%),57%,0,0,3.97,47,77/111 (69%),2,12,11,6,1,0.03,38/71 (54%),,1,9,19/49 (39%),1,436,,0,53,,15,3,12,3,17,53%,2,15,1,18,17,39,0
259,12436621,aston-villa,421,7/15 (47%),52%,3,2,1,2,3,16,2,3/13 (23%),10,11/17 (65%),53%,0,3,2.33,55,93/125 (74%),3,15,16,8,5,0.97,43/80 (54%),,0,5,15/30 (50%),1,484,,,50,,10,3,6,2,17,53%,2,14,5,12,17,35,1
259,12436621,chelsea,393,8/15 (53%),48%,3,2,1,1,3,25,3,3/12 (25%),8,7/16 (44%),47%,2,3,2.30,50,76/98 (78%),0,16,15,6,4,0.12,37/80 (46%),,0,10,22/49 (45%),1,446,,,51,,9,5,7,6,16,44%,4,13,4,15,16,26,3
260,12436963,newcastle,379,20/35 (57%),57%,4,2,2,0,5,36,7,3/18 (17%),16,13/25 (52%),52%,1,3,2.91,46,87/127 (69%),3,11,12,9,2,-1.01,43/86 (50%),2,1,11,15/40 (38%),1,463,,1,56,,13,3,5,0,20,65%,,22,2,13,20,35,1
260,12436963,forest,253,15/35 (43%),43%,4,2,2,1,7,25,6,8/20 (40%),6,6/20 (30%),48%,0,1,1.79,61,78/122 (64%),2,13,11,5,1,-1.36,43/86 (50%),0,0,3,12/50 (24%),0,345,,1,54,,10,5,5,7,28,71%,,19,1,17,28,27,4
261,12436627,man-city,603,4/8 (50%),66%,0,0,,1,8,17,7,3/22 (14%),9,23/36 (64%),54%,,2,0.65,75,211/252 (84%),3,3,10,1,2,-0.62,37/68 (54%),0,0,3,15/31 (48%),2,659,,0,50,,6,3,5,10,5,40%,0,20,2,16,5,40,
261,12436627,liverpool,268,4/8 (50%),34%,1,1,,1,2,34,5,2/7 (29%),3,6/8 (75%),46%,,0,0.71,26,43/67 (64%),0,10,3,10,5,0.41,31/68 (46%),1,0,4,18/45 (40%),4,332,,1,49,,6,2,4,2,22,59%,1,6,5,8,22,27,
