match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Big saves,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Errors lead to a goal,Errors lead to a shot,Expected goals,Final third entries,Final third phase,Fouled in final third,Fouls,Free kicks,Goal kicks,Goalkeeper saves,Goals prevented,Ground duels,High claims,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Penalty saves,Punches,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Touches in penalty area,Yellow cards
182,12436512,leicester,538,5/11 (45%),54%,3,3,0,0,2,10,4,5/19 (26%),4,9/15 (60%),52%,,0,1.30,53,93/111 (84%),2,11,6,8,3,-0.65,29/55 (53%),,2,9,19/30 (63%),3,578,,,35,,10,5,4,1,14,57%,,14,3,11,14,26,2
182,12436512,man-city,461,6/11 (55%),46%,2,0,2,1,3,16,4,5/11 (45%),7,5/12 (42%),48%,,1,1.27,45,114/135 (84%),2,6,11,8,3,0.57,26/55 (47%),,0,5,17/25 (68%),2,505,,,33,,8,6,5,6,10,60%,,19,3,14,10,26,1
183,12436532,crystal-palace,298,17/41 (41%),46%,4,3,1,1,6,33,8,3/23 (13%),10,4/10 (40%),48%,0,0,2.03,54,86/131 (66%),4,18,19,4,2,-0.00,41/79 (52%),1,0,10,22/58 (38%),2,386,,2,63,,12,3,10,7,19,68%,,15,2,19,19,26,2
183,12436532,southampton,358,24/41 (59%),54%,1,0,1,1,1,33,7,4/22 (18%),11,4/12 (33%),52%,1,3,0.94,59,82/125 (66%),2,19,18,4,8,0.35,38/79 (48%),0,0,13,30/62 (48%),1,445,,1,62,,7,3,3,0,16,50%,,9,8,7,16,16,3
184,12436517,everton,391,27/49 (55%),64%,0,0,,1,2,17,5,8/34 (24%),10,12/20 (60%),53%,1,,0.89,101,143/191 (75%),2,13,10,4,5,-0.29,37/72 (51%),1,0,6,34/72 (47%),1,484,,0,55,,9,9,2,4,16,75%,0,36,5,13,16,28,4
184,12436517,forest,196,22/49 (45%),36%,5,5,,0,0,39,4,1/8 (13%),13,4/7 (57%),47%,0,,1.48,45,45/74 (61%),2,10,13,14,2,0.18,35/72 (49%),2,0,10,22/70 (31%),2,288,,1,63,,7,4,7,4,18,72%,3,13,2,11,18,12,1
185,12436515,fulham,387,15/41 (37%),52%,1,0,1,1,2,31,1,6/15 (40%),8,10/14 (71%),56%,1,1,1.11,52,79/115 (69%),1,7,16,6,6,0.44,52/78 (67%),0,0,11,24/57 (42%),,485,,1,53,,8,3,6,3,26,54%,0,22,6,11,26,21,1
185,12436515,bournemouth,348,26/41 (63%),48%,3,1,2,1,1,22,7,6/25 (24%),14,8/20 (40%),44%,0,0,1.98,70,92/140 (66%),2,16,7,7,4,0.42,26/78 (33%),1,0,9,20/59 (34%),,439,,0,57,,12,6,9,4,12,67%,1,29,4,16,12,31,3
186,12436521,tottenham,320,14/22 (64%),48%,5,3,2,1,3,19,5,5/17 (29%),11,6/15 (40%),53%,,1,2.25,47,76/110 (69%),2,9,9,6,1,-0.14,33/66 (50%),1,0,5,14/40 (35%),3,415,0,,46,,10,7,3,3,18,72%,0,21,1,13,18,31,1
186,12436521,wolves,366,8/22 (36%),52%,1,0,1,1,4,15,5,4/15 (27%),11,5/12 (42%),47%,,2,0.72,56,90/131 (69%),2,10,9,8,1,-0.68,33/66 (50%),1,0,3,25/67 (37%),3,457,1,,47,,4,4,3,7,20,60%,1,24,1,11,20,20,2
187,12436513,west-ham,399,6/13 (46%),46%,1,1,0,2,3,23,2,2/9 (22%),14,7/16 (44%),46%,1,1,0.36,46,71/100 (71%),0,7,10,13,8,-0.91,34/74 (46%),,2,11,26/43 (60%),5,466,,2,47,,5,4,0,2,17,76%,0,10,8,7,17,17,
187,12436513,liverpool,475,7/13 (54%),54%,9,6,3,0,2,14,6,6/22 (27%),10,10/17 (59%),54%,0,0,3.15,76,155/192 (81%),1,10,7,5,1,0.00,40/74 (54%),,0,4,21/38 (55%),0,540,,2,52,,17,7,13,5,23,65%,4,13,1,22,23,44,
188,12436530,aston-villa,412,11/22 (50%),60%,3,2,1,1,9,20,12,3/19 (16%),10,20/29 (69%),58%,,1,1.78,47,106/138 (77%),2,9,13,6,3,-0.51,56/93 (60%),0,0,4,25/43 (58%),2,486,,0,52,,12,7,4,8,22,55%,,12,3,20,22,48,2
188,12436530,brighton,263,11/22 (50%),40%,2,1,1,0,5,28,3,3/12 (25%),10,9/21 (43%),42%,,1,1.13,38,47/82 (57%),2,14,9,8,3,-0.84,37/93 (40%),1,0,14,24/49 (49%),0,329,,3,50,,7,4,4,6,19,58%,,13,3,13,19,26,3
189,12436510,ipswich,144,15/31 (48%),24%,2,1,1,1,2,26,4,2/7 (29%),7,3/7 (43%),51%,0,1,1.58,36,21/50 (42%),1,9,4,15,4,1.48,24/46 (52%),4,0,6,19/56 (34%),0,227,,,44,,8,1,6,1,17,41%,0,10,4,9,17,15,4
